KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
dynamic-afghani-culture-num1;Wakhan;Wakhan;Wakhan;Wakhan;Wakhan;Wakhan;Wakhan;Wakhan;Wakhan;Wakhan;Wakhan;Wakhan;Wakhan;x
dynamic-afghani-culture-num2;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;x
dynamic-al_suryah_arabic-culture-num1;Khaburan;Khaburan;Khaburan;Khaburan;Khaburan;Khaburan;Khaburan;Khaburan;Khaburan;Khaburan;Khaburan;Khaburan;Khaburan;x
dynamic-al_suryah_arabic-culture-num2;Euphratese;Euphratese;Euphratese;Euphratese;Euphratese;Euphratese;Euphratese;Euphratese;Euphratese;Euphratese;Euphratese;Euphratese;Euphratese;x
dynamic-al_suryah_arabic-culture-num3;Wasitian;Wasitian;Wasitian;Wasitian;Wasitian;Wasitian;Wasitian;Wasitian;Wasitian;Wasitian;Wasitian;Wasitian;Wasitian;x
dynamic-al_suryah_arabic-persian-culture-num1;Perso-Mashriqi;Perso-Mashriqi;Perso-Mashriqi;Perso-Mashriqi;Perso-Mashriqi;Perso-Mashriqi;Perso-Mashriqi;Perso-Mashriqi;Perso-Mashriqi;Perso-Mashriqi;Perso-Mashriqi;Perso-Mashriqi;Perso-Mashriqi;x
dynamic-al_suryah_arabic-persian-culture-num2;Euphratese-Persian;Euphratese-Persian;Euphratese-Persian;Euphratese-Persian;Euphratese-Persian;Euphratese-Persian;Euphratese-Persian;Euphratese-Persian;Euphratese-Persian;Euphratese-Persian;Euphratese-Persian;Euphratese-Persian;Euphratese-Persian;x
dynamic-al_suryah_arabic-persian-culture-num3;Wasitian-Persian;Wasitian-Persian;Wasitian-Persian;Wasitian-Persian;Wasitian-Persian;Wasitian-Persian;Wasitian-Persian;Wasitian-Persian;Wasitian-Persian;Wasitian-Persian;Wasitian-Persian;Wasitian-Persian;Wasitian-Persian;x
dynamic-al_suryah_arabic-somali-culture-num1;Harari-Mashriqi;Harari-Mashriqi;Harari-Mashriqi;Harari-Mashriqi;Harari-Mashriqi;Harari-Mashriqi;Harari-Mashriqi;Harari-Mashriqi;Harari-Mashriqi;Harari-Mashriqi;Harari-Mashriqi;Harari-Mashriqi;Harari-Mashriqi;x
dynamic-andalucian-culture-num1;Salamanqa;Salamanqa;Salamanqa;Salamanqa;Salamanqa;Salamanqa;Salamanqa;Salamanqa;Salamanqa;Salamanqa;Salamanqa;Salamanqa;Salamanqa;x
dynamic-andalucian-culture-num2;Qabra;Qabra;Qabra;Qabra;Qabra;Qabra;Qabra;Qabra;Qabra;Qabra;Qabra;Qabra;Qabra;x
dynamic-assamese-nepali-culture-num1;Kirato-Kamrupi;Kirato-Kamrupi;Kirato-Kamrupi;Kirato-Kamrupi;Kirato-Kamrupi;Kirato-Kamrupi;Kirato-Kamrupi;Kirato-Kamrupi;Kirato-Kamrupi;Kirato-Kamrupi;Kirato-Kamrupi;Kirato-Kamrupi;Kirato-Kamrupi;x
dynamic-assyrian-al_suryah_arabic-culture-num1;Syro-Mashriqi;Syro-Mashriqi;Syro-Mashriqi;Syro-Mashriqi;Syro-Mashriqi;Syro-Mashriqi;Syro-Mashriqi;Syro-Mashriqi;Syro-Mashriqi;Syro-Mashriqi;Syro-Mashriqi;Syro-Mashriqi;Syro-Mashriqi;x
dynamic-avadhi-culture-num1;Vodamayutjan;Vodamayutjan;Vodamayutjan;Vodamayutjan;Vodamayutjan;Vodamayutjan;Vodamayutjan;Vodamayutjan;Vodamayutjan;Vodamayutjan;Vodamayutjan;Vodamayutjan;Vodamayutjan;x
dynamic-basque-occitain-culture-num1;Lengadoco-Basque;Lengadoco-Basque;Lengadoco-Basque;Lengadoco-Basque;Lengadoco-Basque;Lengadoco-Basque;Lengadoco-Basque;Lengadoco-Basque;Lengadoco-Basque;Lengadoco-Basque;Lengadoco-Basque;Lengadoco-Basque;Lengadoco-Basque;x
dynamic-bavarian-culture-num1;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;Geisenhausian;x
dynamic-bavarian-italian-culture-num1;Alpine-Geisenhausian;Alpine-Geisenhausian;Alpine-Geisenhausian;Alpine-Geisenhausian;Alpine-Geisenhausian;Alpine-Geisenhausian;Alpine-Geisenhausian;Alpine-Geisenhausian;Alpine-Geisenhausian;Alpine-Geisenhausian;Alpine-Geisenhausian;Alpine-Geisenhausian;Alpine-Geisenhausian;x
dynamic-bavarian-slovene-culture-num1;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;x
dynamic-bedouin_arabic-culture-num1;Wabarian;Wabarian;Wabarian;Wabarian;Wabarian;Wabarian;Wabarian;Wabarian;Wabarian;Wabarian;Wabarian;Wabarian;Wabarian;x
dynamic-bedouin_arabic-persian-culture-num1;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;Perso-Bedouin;x
dynamic-bengali-gondi-culture-num1;Gond-Bengali;Gond-Bengali;Gond-Bengali;Gond-Bengali;Gond-Bengali;Gond-Bengali;Gond-Bengali;Gond-Bengali;Gond-Bengali;Gond-Bengali;Gond-Bengali;Gond-Bengali;Gond-Bengali;x
dynamic-berber-al_suryah_arabic-culture-num1;Euphratese-Butr;Euphratese-Butr;Euphratese-Butr;Euphratese-Butr;Euphratese-Butr;Euphratese-Butr;Euphratese-Butr;Euphratese-Butr;Euphratese-Butr;Euphratese-Butr;Euphratese-Butr;Euphratese-Butr;Euphratese-Butr;x
dynamic-berber-hausa-culture-num1;Hausa-Butr;Hausa-Butr;Hausa-Butr;Hausa-Butr;Hausa-Butr;Hausa-Butr;Hausa-Butr;Hausa-Butr;Hausa-Butr;Hausa-Butr;Hausa-Butr;Hausa-Butr;Hausa-Butr;x
dynamic-burmese-culture-num1;Burmo-Bengali;Burmo-Bengali;Burmo-Bengali;Burmo-Bengali;Burmo-Bengali;Burmo-Bengali;Burmo-Bengali;Burmo-Bengali;Burmo-Bengali;Burmo-Bengali;Burmo-Bengali;Burmo-Bengali;Burmo-Bengali;x
dynamic-burmese-culture-num2;Radhan;Radhan;Radhan;Radhan;Radhan;Radhan;Radhan;Radhan;Radhan;Radhan;Radhan;Radhan;Radhan;x
dynamic-buryat-culture-num1;Buryato-Uriankhai;Buryato-Uriankhai;Buryato-Uriankhai;Buryato-Uriankhai;Buryato-Uriankhai;Buryato-Uriankhai;Buryato-Uriankhai;Buryato-Uriankhai;Buryato-Uriankhai;Buryato-Uriankhai;Buryato-Uriankhai;Buryato-Uriankhai;Buryato-Uriankhai;x
dynamic-chihan-chihan-culture-num1;Sino-Shatuo;Sino-Shatuo;Sino-Shatuo;Sino-Shatuo;Sino-Shatuo;Sino-Shatuo;Sino-Shatuo;Sino-Shatuo;Sino-Shatuo;Sino-Shatuo;Sino-Shatuo;Sino-Shatuo;Sino-Shatuo;x
dynamic-chihan-chihan-culture-num2;Tuyuhuno-Han;Tuyuhuno-Han;Tuyuhuno-Han;Tuyuhuno-Han;Tuyuhuno-Han;Tuyuhuno-Han;Tuyuhuno-Han;Tuyuhuno-Han;Tuyuhuno-Han;Tuyuhuno-Han;Tuyuhuno-Han;Tuyuhuno-Han;Tuyuhuno-Han;x
dynamic-chihan-culture-num1;Sumpo-Tuyuhun;Sumpo-Tuyuhun;Sumpo-Tuyuhun;Sumpo-Tuyuhun;Sumpo-Tuyuhun;Sumpo-Tuyuhun;Sumpo-Tuyuhun;Sumpo-Tuyuhun;Sumpo-Tuyuhun;Sumpo-Tuyuhun;Sumpo-Tuyuhun;Sumpo-Tuyuhun;Sumpo-Tuyuhun;x
dynamic-cosmopolitan_french-culture-num1;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;x
dynamic-cosmopolitan_french-culture-num2;Troyesian;Troyesian;Troyesian;Troyesian;Troyesian;Troyesian;Troyesian;Troyesian;Troyesian;Troyesian;Troyesian;Troyesian;Troyesian;x
dynamic-cosmopolitan_french-greek-culture-num1;Franco-Greek;Franco-Greek;Franco-Greek;Franco-Greek;Franco-Greek;Franco-Greek;Franco-Greek;Franco-Greek;Franco-Greek;Franco-Greek;Franco-Greek;Franco-Greek;Franco-Greek;x
dynamic-croatian-culture-num1;Slovieno-Croatian;Slovieno-Croatian;Slovieno-Croatian;Slovieno-Croatian;Slovieno-Croatian;Slovieno-Croatian;Slovieno-Croatian;Slovieno-Croatian;Slovieno-Croatian;Slovieno-Croatian;Slovieno-Croatian;Slovieno-Croatian;Slovieno-Croatian;x
dynamic-finnish-norse-culture-num1;Finno-Norse;Finno-Norse;Finno-Norse;Finno-Norse;Finno-Norse;Finno-Norse;Finno-Norse;Finno-Norse;Finno-Norse;Finno-Norse;Finno-Norse;Finno-Norse;Finno-Norse;x
dynamic-franconian-culture-num1;Speyer;Speyer;Speyer;Speyer;Speyer;Speyer;Speyer;Speyer;Speyer;Speyer;Speyer;Speyer;Speyer;x
dynamic-franconian-sorbian-culture-num1;Polabo-Franconian;Polabo-Franconian;Polabo-Franconian;Polabo-Franconian;Polabo-Franconian;Polabo-Franconian;Polabo-Franconian;Polabo-Franconian;Polabo-Franconian;Polabo-Franconian;Polabo-Franconian;Polabo-Franconian;Polabo-Franconian;x
dynamic-greek-culture-num1;Antiochian;Antiochian;Antiochian;Antiochian;Antiochian;Antiochian;Antiochian;Antiochian;Antiochian;Antiochian;Antiochian;Antiochian;Antiochian;x
dynamic-greek-culture-num2;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;x
dynamic-greek-culture-num3;Antiochian-Mashriqi;Antiochian-Mashriqi;Antiochian-Mashriqi;Antiochian-Mashriqi;Antiochian-Mashriqi;Antiochian-Mashriqi;Antiochian-Mashriqi;Antiochian-Mashriqi;Antiochian-Mashriqi;Antiochian-Mashriqi;Antiochian-Mashriqi;Antiochian-Mashriqi;Antiochian-Mashriqi;x
dynamic-greek-culture-num4;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;x
dynamic-greek-culture-num5;Burgasan;Burgasan;Burgasan;Burgasan;Burgasan;Burgasan;Burgasan;Burgasan;Burgasan;Burgasan;Burgasan;Burgasan;Burgasan;x
dynamic-greek-culture-num6;Avlonasian;Avlonasian;Avlonasian;Avlonasian;Avlonasian;Avlonasian;Avlonasian;Avlonasian;Avlonasian;Avlonasian;Avlonasian;Avlonasian;Avlonasian;x
dynamic-greek-culture-num7;Phrygian;Phrygian;Phrygian;Phrygian;Phrygian;Phrygian;Phrygian;Phrygian;Phrygian;Phrygian;Phrygian;Phrygian;Phrygian;x
dynamic-highland_scottish-norse-culture-num1;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;x
dynamic-hungarian-culture-num1;Székelyföldian;Székelyföldian;Székelyföldian;Székelyföldian;Székelyföldian;Székelyföldian;Székelyföldian;Székelyföldian;Székelyföldian;Székelyföldian;Székelyföldian;Székelyföldian;Székelyföldian;x
dynamic-kannada-sinhala-culture-num1;Kannada-Sinhala;Kannada-Sinhala;Kannada-Sinhala;Kannada-Sinhala;Kannada-Sinhala;Kannada-Sinhala;Kannada-Sinhala;Kannada-Sinhala;Kannada-Sinhala;Kannada-Sinhala;Kannada-Sinhala;Kannada-Sinhala;Kannada-Sinhala;x
dynamic-kashmiri-saka-culture-num1;Kashmiri-Saka;Kashmiri-Saka;Kashmiri-Saka;Kashmiri-Saka;Kashmiri-Saka;Kashmiri-Saka;Kashmiri-Saka;Kashmiri-Saka;Kashmiri-Saka;Kashmiri-Saka;Kashmiri-Saka;Kashmiri-Saka;Kashmiri-Saka;x
dynamic-kashmiri-zhangzhung-culture-num1;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;x
dynamic-khazar-mordvin-culture-num1;Khazaro-Mordvin;Khazaro-Mordvin;Khazaro-Mordvin;Khazaro-Mordvin;Khazaro-Mordvin;Khazaro-Mordvin;Khazaro-Mordvin;Khazaro-Mordvin;Khazaro-Mordvin;Khazaro-Mordvin;Khazaro-Mordvin;Khazaro-Mordvin;Khazaro-Mordvin;x
dynamic-khazar-norse-culture-num1;Khazaro-Norse;Khazaro-Norse;Khazaro-Norse;Khazaro-Norse;Khazaro-Norse;Khazaro-Norse;Khazaro-Norse;Khazaro-Norse;Khazaro-Norse;Khazaro-Norse;Khazaro-Norse;Khazaro-Norse;Khazaro-Norse;x
dynamic-kirgiz-culture-num1;Naiman Gobin;Naiman Gobin;Naiman Gobin;Naiman Gobin;Naiman Gobin;Naiman Gobin;Naiman Gobin;Naiman Gobin;Naiman Gobin;Naiman Gobin;Naiman Gobin;Naiman Gobin;Naiman Gobin;x
