KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
dynamic-kirgiz-khazak-culture-num1;Kirghizo-Naiman;Kirghizo-Naiman;Kirghizo-Naiman;Kirghizo-Naiman;Kirghizo-Naiman;Kirghizo-Naiman;Kirghizo-Naiman;Kirghizo-Naiman;Kirghizo-Naiman;Kirghizo-Naiman;Kirghizo-Naiman;Kirghizo-Naiman;Kirghizo-Naiman;x
dynamic-kurdish-al_suryah_arabic-culture-num1;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;x
dynamic-lithuanian-russian_culture-culture-num1;Lithuano-Ruthenian;Lithuano-Ruthenian;Lithuano-Ruthenian;Lithuano-Ruthenian;Lithuano-Ruthenian;Lithuano-Ruthenian;Lithuano-Ruthenian;Lithuano-Ruthenian;Lithuano-Ruthenian;Lithuano-Ruthenian;Lithuano-Ruthenian;Lithuano-Ruthenian;Lithuano-Ruthenian;x
dynamic-mali-culture-num1;Marka-Kanuri;Marka-Kanuri;Marka-Kanuri;Marka-Kanuri;Marka-Kanuri;Marka-Kanuri;Marka-Kanuri;Marka-Kanuri;Marka-Kanuri;Marka-Kanuri;Marka-Kanuri;Marka-Kanuri;Marka-Kanuri;x
dynamic-mali-dyola-culture-num1;Bobo-Kru;Bobo-Kru;Bobo-Kru;Bobo-Kru;Bobo-Kru;Bobo-Kru;Bobo-Kru;Bobo-Kru;Bobo-Kru;Bobo-Kru;Bobo-Kru;Bobo-Kru;Bobo-Kru;x
dynamic-mali-soninke-culture-num1;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;x
dynamic-mali-yorumba-culture-num1;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;x
dynamic-marathi-telegu-culture-num1;Maratha-Telugu;Maratha-Telugu;Maratha-Telugu;Maratha-Telugu;Maratha-Telugu;Maratha-Telugu;Maratha-Telugu;Maratha-Telugu;Maratha-Telugu;Maratha-Telugu;Maratha-Telugu;Maratha-Telugu;Maratha-Telugu;x
dynamic-mongol-culture-num1;Ubsunurian;Ubsunurian;Ubsunurian;Ubsunurian;Ubsunurian;Ubsunurian;Ubsunurian;Ubsunurian;Ubsunurian;Ubsunurian;Ubsunurian;Ubsunurian;Ubsunurian;x
dynamic-mongol-culture-num2;Kipchako-Mongol;Kipchako-Mongol;Kipchako-Mongol;Kipchako-Mongol;Kipchako-Mongol;Kipchako-Mongol;Kipchako-Mongol;Kipchako-Mongol;Kipchako-Mongol;Kipchako-Mongol;Kipchako-Mongol;Kipchako-Mongol;Kipchako-Mongol;x
dynamic-mongol-turkish-culture-num1;Turko-Mongol;Turko-Mongol;Turko-Mongol;Turko-Mongol;Turko-Mongol;Turko-Mongol;Turko-Mongol;Turko-Mongol;Turko-Mongol;Turko-Mongol;Turko-Mongol;Turko-Mongol;Turko-Mongol;x
dynamic-mordvin-norse-culture-num1;Mordvino-Norse;Mordvino-Norse;Mordvino-Norse;Mordvino-Norse;Mordvino-Norse;Mordvino-Norse;Mordvino-Norse;Mordvino-Norse;Mordvino-Norse;Mordvino-Norse;Mordvino-Norse;Mordvino-Norse;Mordvino-Norse;x
dynamic-nogaybak-culture-num1;Karamayian;Karamayian;Karamayian;Karamayian;Karamayian;Karamayian;Karamayian;Karamayian;Karamayian;Karamayian;Karamayian;Karamayian;Karamayian;x
dynamic-nogaybak-mongol-culture-num1;Kimeko-Mongol;Kimeko-Mongol;Kimeko-Mongol;Kimeko-Mongol;Kimeko-Mongol;Kimeko-Mongol;Kimeko-Mongol;Kimeko-Mongol;Kimeko-Mongol;Kimeko-Mongol;Kimeko-Mongol;Kimeko-Mongol;Kimeko-Mongol;x
dynamic-norwegian-culture-num1;Víkverer;Víkverer;Víkverer;Víkverer;Víkverer;Víkverer;Víkverer;Víkverer;Víkverer;Víkverer;Víkverer;Víkverer;Víkverer;x
dynamic-occitain-culture-num1;Lengadocian;Lengadocian;Lengadocian;Lengadocian;Lengadocian;Lengadocian;Lengadocian;Lengadocian;Lengadocian;Lengadocian;Lengadocian;Lengadocian;Lengadocian;x
dynamic-ostyaki-culture-num1;Tabarian;Tabarian;Tabarian;Tabarian;Tabarian;Tabarian;Tabarian;Tabarian;Tabarian;Tabarian;Tabarian;Tabarian;Tabarian;x
dynamic-panjabi-culture-num1;Bheran;Bheran;Bheran;Bheran;Bheran;Bheran;Bheran;Bheran;Bheran;Bheran;Bheran;Bheran;Bheran;x
dynamic-polish-culture-num1;Lublinian;Lublinian;Lublinian;Lublinian;Lublinian;Lublinian;Lublinian;Lublinian;Lublinian;Lublinian;Lublinian;Lublinian;Lublinian;x
dynamic-polish-culture-num2;Kuyavian;Kuyavian;Kuyavian;Kuyavian;Kuyavian;Kuyavian;Kuyavian;Kuyavian;Kuyavian;Kuyavian;Kuyavian;Kuyavian;Kuyavian;x
dynamic-romanian-culture-num1;Galatian;Galatian;Galatian;Galatian;Galatian;Galatian;Galatian;Galatian;Galatian;Galatian;Galatian;Galatian;Galatian;x
dynamic-russian_culture-culture-num1;Korsunian;Korsunian;Korsunian;Korsunian;Korsunian;Korsunian;Korsunian;Korsunian;Korsunian;Korsunian;Korsunian;Korsunian;Korsunian;x
dynamic-russian_culture-culture-num2;Kurskian;Kurskian;Kurskian;Kurskian;Kurskian;Kurskian;Kurskian;Kurskian;Kurskian;Kurskian;Kurskian;Kurskian;Kurskian;x
dynamic-russian_culture-culture-num3;Turko-Russian;Turko-Russian;Turko-Russian;Turko-Russian;Turko-Russian;Turko-Russian;Turko-Russian;Turko-Russian;Turko-Russian;Turko-Russian;Turko-Russian;Turko-Russian;Turko-Russian;x
dynamic-saka-zhangzhung-culture-num1;Zhangzhungo-Saka;Zhangzhungo-Saka;Zhangzhungo-Saka;Zhangzhungo-Saka;Zhangzhungo-Saka;Zhangzhungo-Saka;Zhangzhungo-Saka;Zhangzhungo-Saka;Zhangzhungo-Saka;Zhangzhungo-Saka;Zhangzhungo-Saka;Zhangzhungo-Saka;Zhangzhungo-Saka;x
dynamic-samoyed-karelian-culture-num1;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;x
dynamic-sapmi-culture-num1;Sombian;Sombian;Sombian;Sombian;Sombian;Sombian;Sombian;Sombian;Sombian;Sombian;Sombian;Sombian;Sombian;x
dynamic-sapmi-culture-num2;Jåhkåmåhkkian;Jåhkåmåhkkian;Jåhkåmåhkkian;Jåhkåmåhkkian;Jåhkåmåhkkian;Jåhkåmåhkkian;Jåhkåmåhkkian;Jåhkåmåhkkian;Jåhkåmåhkkian;Jåhkåmåhkkian;Jåhkåmåhkkian;Jåhkåmåhkkian;Jåhkåmåhkkian;x
dynamic-sapmi-swedish-culture-num1;Sombian-Swedish;Sombian-Swedish;Sombian-Swedish;Sombian-Swedish;Sombian-Swedish;Sombian-Swedish;Sombian-Swedish;Sombian-Swedish;Sombian-Swedish;Sombian-Swedish;Sombian-Swedish;Sombian-Swedish;Sombian-Swedish;x
dynamic-saxon-culture-num1;Lüneburgian;Lüneburgian;Lüneburgian;Lüneburgian;Lüneburgian;Lüneburgian;Lüneburgian;Lüneburgian;Lüneburgian;Lüneburgian;Lüneburgian;Lüneburgian;Lüneburgian;x
dynamic-senegambian-culture-num1;Wulian;Wulian;Wulian;Wulian;Wulian;Wulian;Wulian;Wulian;Wulian;Wulian;Wulian;Wulian;Wulian;x
dynamic-senegambian-fulani-culture-num1;Mel-Pulaar;Mel-Pulaar;Mel-Pulaar;Mel-Pulaar;Mel-Pulaar;Mel-Pulaar;Mel-Pulaar;Mel-Pulaar;Mel-Pulaar;Mel-Pulaar;Mel-Pulaar;Mel-Pulaar;Mel-Pulaar;x
dynamic-sinhala-culture-num1;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;Tamil-Sinhala;x
dynamic-somali-culture-num1;Gabali;Gabali;Gabali;Gabali;Gabali;Gabali;Gabali;Gabali;Gabali;Gabali;Gabali;Gabali;Gabali;x
dynamic-somali-culture-num2;Harari;Harari;Harari;Harari;Harari;Harari;Harari;Harari;Harari;Harari;Harari;Harari;Harari;x
dynamic-somali-sidamo-culture-num1;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;x
dynamic-sorbian-culture-num1;Magdeburgian;Magdeburgian;Magdeburgian;Magdeburgian;Magdeburgian;Magdeburgian;Magdeburgian;Magdeburgian;Magdeburgian;Magdeburgian;Magdeburgian;Magdeburgian;Magdeburgian;x
dynamic-sorbian-culture-num2;Magdeburgian-Franconian;Magdeburgian-Franconian;Magdeburgian-Franconian;Magdeburgian-Franconian;Magdeburgian-Franconian;Magdeburgian-Franconian;Magdeburgian-Franconian;Magdeburgian-Franconian;Magdeburgian-Franconian;Magdeburgian-Franconian;Magdeburgian-Franconian;Magdeburgian-Franconian;Magdeburgian-Franconian;x
dynamic-sumpa-culture-num1;Sumpo-Saka;Sumpo-Saka;Sumpo-Saka;Sumpo-Saka;Sumpo-Saka;Sumpo-Saka;Sumpo-Saka;Sumpo-Saka;Sumpo-Saka;Sumpo-Saka;Sumpo-Saka;Sumpo-Saka;Sumpo-Saka;x
dynamic-swabian-culture-num1;Bernian;Bernian;Bernian;Bernian;Bernian;Bernian;Bernian;Bernian;Bernian;Bernian;Bernian;Bernian;Bernian;x
dynamic-swabian-culture-num2;Fürstenbergian;Fürstenbergian;Fürstenbergian;Fürstenbergian;Fürstenbergian;Fürstenbergian;Fürstenbergian;Fürstenbergian;Fürstenbergian;Fürstenbergian;Fürstenbergian;Fürstenbergian;Fürstenbergian;x
dynamic-tangut-culture-num1;Dêgê;Dêgê;Dêgê;Dêgê;Dêgê;Dêgê;Dêgê;Dêgê;Dêgê;Dêgê;Dêgê;Dêgê;Dêgê;x
dynamic-telegu-culture-num1;Tondai Nadu;Tondai Nadu;Tondai Nadu;Tondai Nadu;Tondai Nadu;Tondai Nadu;Tondai Nadu;Tondai Nadu;Tondai Nadu;Tondai Nadu;Tondai Nadu;Tondai Nadu;Tondai Nadu;x
dynamic-tibetan-chihan-culture-num1;Qingtang-Han;Qingtang-Han;Qingtang-Han;Qingtang-Han;Qingtang-Han;Qingtang-Han;Qingtang-Han;Qingtang-Han;Qingtang-Han;Qingtang-Han;Qingtang-Han;Qingtang-Han;Qingtang-Han;x
dynamic-tibetan-culture-num1;Qingtang;Qingtang;Qingtang;Qingtang;Qingtang;Qingtang;Qingtang;Qingtang;Qingtang;Qingtang;Qingtang;Qingtang;Qingtang;x
dynamic-tibetan-culture-num2;Lingtsang;Lingtsang;Lingtsang;Lingtsang;Lingtsang;Lingtsang;Lingtsang;Lingtsang;Lingtsang;Lingtsang;Lingtsang;Lingtsang;Lingtsang;x
dynamic-tocharian-uyghur-culture-num1;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;x
dynamic-turkish-culture-num1;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;x
dynamic-uralic-russian_culture-culture-num1;Russo-Merya;Russo-Merya;Russo-Merya;Russo-Merya;Russo-Merya;Russo-Merya;Russo-Merya;Russo-Merya;Russo-Merya;Russo-Merya;Russo-Merya;Russo-Merya;Russo-Merya;x
dynamic-uzbehk-culture-num1;Buryato-Karluk;Buryato-Karluk;Buryato-Karluk;Buryato-Karluk;Buryato-Karluk;Buryato-Karluk;Buryato-Karluk;Buryato-Karluk;Buryato-Karluk;Buryato-Karluk;Buryato-Karluk;Buryato-Karluk;Buryato-Karluk;x
dynamic-uzbehk-culture-num2;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;x
dynamic-uzbehk-culture-num3;Kadan;Kadan;Kadan;Kadan;Kadan;Kadan;Kadan;Kadan;Kadan;Kadan;Kadan;Kadan;Kadan;x
dynamic-uzbehk-uralic-culture-num1;Permo-Karluk;Permo-Karluk;Permo-Karluk;Permo-Karluk;Permo-Karluk;Permo-Karluk;Permo-Karluk;Permo-Karluk;Permo-Karluk;Permo-Karluk;Permo-Karluk;Permo-Karluk;Permo-Karluk;x
dynamic-zaghawa-culture-num1;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;x
dynamic-zaghawa-culture-num2;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;Zaghawo-Sao;x
dynamic-zaghawa-culture-num3;Zaghawo-Kanuri;Zaghawo-Kanuri;Zaghawo-Kanuri;Zaghawo-Kanuri;Zaghawo-Kanuri;Zaghawo-Kanuri;Zaghawo-Kanuri;Zaghawo-Kanuri;Zaghawo-Kanuri;Zaghawo-Kanuri;Zaghawo-Kanuri;Zaghawo-Kanuri;Zaghawo-Kanuri;x
dynamic-zhangzhung-culture-num1;Co'nyi;Co'nyi;Co'nyi;Co'nyi;Co'nyi;Co'nyi;Co'nyi;Co'nyi;Co'nyi;Co'nyi;Co'nyi;Co'nyi;Co'nyi;x
